Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29612	BUSEDRA	Drammenselva	Skagerrak	07.09.2020 12:10	9	0	0	5.508	0.689	0.902	10.061	0.113	5.379	11.46	1825.064	0.009	3.132	0.023	0.021	0.261	18.204	-0.016
29612	BUSEDRA	Drammenselva	Skagerrak	05.10.2020 11:45	10	0	0	7.354	0.708	0.81	8.792	0.208	4.826	11.328	3544.034	0.02	3.592	0.047	0.043	0.345	38.739	-0.014
29612	BUSEDRA	Drammenselva	Skagerrak	02.11.2020 12:50	11	0	0	6.938	0.704	0.841	8.812	0.181	4.845	10.493	3067.977	0.017	4.024	0.041	0.037	0.387	33.715	-0.014
29612	BUSEDRA	Drammenselva	Skagerrak	07.12.2020 13:15	12	0	0	8.455	0.698	0.837	9.201	0.136	4.99	12.416	2277.071	0.013	3.891	0.03	0.027	0.357	24.191	-0.015
29613	TELESKI	Skienselva	Skagerrak	14.01.2020 09:00	1	0	0	11.893	0.694	0.785	9.607	0.104	5.088	14.906	1724.8	0.009	3.713	0.022	0.02	0.322	17.43	-0.014
29613	TELESKI	Skienselva	Skagerrak	04.02.2020 09:00	2	0	0	48.154	0.695	0.811	9.624	0.108	5.079	22.625	1791.603	0.009	3.857	0.023	0.021	0.334	18.092	-0.015
29613	TELESKI	Skienselva	Skagerrak	09.03.2020 09:00	3	0	0	8.668	0.698	0.824	9.335	0.112	5.009	13.753	1874.118	0.01	4.007	0.024	0.022	0.357	19.323	-0.015
29613	TELESKI	Skienselva	Skagerrak	14.04.2020 09:00	4	0	0	9.448	0.696	0.832	9.394	0.108	5.023	13.586	1798.287	0.01	3.999	0.023	0.021	0.357	18.657	-0.015
29613	TELESKI	Skienselva	Skagerrak	04.05.2020 09:00	5	0	0	8.803	0.694	0.832	9.628	0.104	5.099	14.416	1721.899	0.009	3.855	0.022	0.02	0.334	17.45	-0.015
29613	TELESKI	Skienselva	Skagerrak	02.06.2020 09:00	6	0	0	9.177	0.69	0.857	9.557	0.096	5.129	13.297	1580.321	0.008	3.833	0.02	0.019	0.338	16.358	-0.015
29613	TELESKI	Skienselva	Skagerrak	06.07.2020 09:00	7	0	0	-43.368	0.642	0.732	14.022	0.085	6.393	377.75	1253.61	0.005	3.139	0.015	0.013	0.181	9.443	-0.016
29613	TELESKI	Skienselva	Skagerrak	03.08.2020 09:00	8	0	0	10.82	0.695	0.838	9.625	0.11	5.07	15.135	1819.944	0.01	3.433	0.024	0.022	0.297	18.417	-0.015
29613	TELESKI	Skienselva	Skagerrak	07.09.2020 09:00	9	0	0	8.789	0.693	0.851	9.468	0.12	5.063	14.453	1982.309	0.011	3.322	0.026	0.024	0.293	20.407	-0.015
29613	TELESKI	Skienselva	Skagerrak	05.10.2020 09:00	10	0	0	8.364	0.698	0.83	9.247	0.131	4.97	12.562	2194.144	0.012	3.64	0.029	0.026	0.332	23.112	-0.015
29613	TELESKI	Skienselva	Skagerrak	02.11.2020 09:00	11	0	0	7.41	0.704	0.806	8.762	0.155	4.77	11.325	2643.198	0.015	4.189	0.035	0.032	0.402	28.793	-0.014
29613	TELESKI	Skienselva	Skagerrak	07.12.2020 09:00	12	0	0	9.101	0.701	0.811	9.089	0.13	4.886	13.872	2189.122	0.012	4.189	0.029	0.027	0.388	23.247	-0.014
29614	VAGEOTR	Otra	Skagerrak	07.01.2020 12:35	1	0	0	7.95	0.717	0.783	8.192	0.128	4.477	12.177	2250.235	0.013	4.138	0.031	0.029	0.426	25.55	-0.013
29614	VAGEOTR	Otra	Skagerrak	03.02.2020 11:10	2	0	0	9.111	0.712	0.773	8.232	0.136	4.52	12.059	2367.172	0.014	4.237	0.033	0.03	0.432	26.73	-0.013
29614	VAGEOTR	Otra	Skagerrak	02.03.2020 14:58	3	0	0	9.633	0.706	0.788	8.54	0.108	4.64	12.941	1865.249	0.011	4.011	0.025	0.023	0.393	20.557	-0.014
29614	VAGEOTR	Otra	Skagerrak	14.04.2020 14:25	4	0	0	8.673	0.698	0.818	8.909	0.092	4.79	13.203	1550.059	0.009	3.979	0.021	0.019	0.377	16.773	-0.014
29614	VAGEOTR	Otra	Skagerrak	04.05.2020 12:05	5	0	0	11.365	0.695	0.805	9.29	0.088	4.922	18.74	1482.036	0.008	3.845	0.02	0.018	0.344	15.294	-0.014
